customer_id,country,frequency,monetary,recency_days,rfm_segment
14646.0,Netherlands,73,280206.01999999996,1,Champions
18102.0,United Kingdom,60,259657.3,0,Champions
17450.0,United Kingdom,46,194550.78999999998,8,Champions
16446.0,United Kingdom,2,168472.5,0,Recent
14911.0,EIRE,201,143825.06,1,Champions
12415.0,Australia,21,124914.53,24,Champions
14156.0,EIRE,55,117379.62999999998,9,Champions
17511.0,United Kingdom,31,91062.38,2,Champions
16029.0,United Kingdom,63,81024.84,38,Champions
12346.0,United Kingdom,1,77183.6,325,At Risk
16684.0,United Kingdom,28,66653.56,4,Champions
14096.0,United Kingdom,17,65164.790000000095,4,Champions
13694.0,United Kingdom,50,65039.619999999995,3,Champions
15311.0,United Kingdom,91,60767.90000000001,0,Champions
13089.0,United Kingdom,97,58825.83,2,Champions
17949.0,United Kingdom,45,58510.48,1,Champions
15769.0,United Kingdom,26,56252.72,7,Champions
15061.0,United Kingdom,48,54534.14,3,Champions
14298.0,United Kingdom,44,51527.30000000001,8,Champions
14088.0,United Kingdom,13,50491.81000000001,10,Champions
15749.0,United Kingdom,3,44534.3,235,At Risk
12931.0,United Kingdom,15,42055.96,21,Champions
17841.0,United Kingdom,124,40991.57,1,Champions
15098.0,United Kingdom,3,39916.5,182,At Risk
13798.0,United Kingdom,57,37153.85,1,Champions
16013.0,United Kingdom,47,37130.6,3,Champions
16422.0,United Kingdom,51,34684.399999999994,17,Champions
12748.0,United Kingdom,209,33719.729999999996,0,Champions
15838.0,United Kingdom,19,33643.079999999994,11,Champions
17404.0,Sweden,15,31906.82,4,Champions
17389.0,United Kingdom,34,31833.680000000004,0,Champions
13098.0,United Kingdom,28,28882.44,1,Champions
14680.0,United Kingdom,16,28754.109999999997,25,Champions
13081.0,United Kingdom,11,28337.379999999997,11,Champions
13408.0,United Kingdom,62,28117.039999999997,1,Champions
17857.0,United Kingdom,23,26879.04,4,Champions
16333.0,United Kingdom,22,26626.799999999996,7,Champions
13777.0,United Kingdom,33,25977.16,0,Champions
12753.0,Japan,6,21429.39,22,Loyal
12744.0,Singapore,7,21279.289999999997,51,Loyal
16210.0,United Kingdom,18,21086.300000000003,1,Champions
17675.0,United Kingdom,31,20374.28,1,Champions
17381.0,United Kingdom,29,20275.61,8,Champions
15039.0,United Kingdom,47,19914.440000000002,9,Champions
12471.0,Germany,30,19824.050000000003,2,Champions
12731.0,France,12,18895.91,23,Champions
15159.0,United Kingdom,30,18641.010000000002,1,Champions
12901.0,United Kingdom,28,17654.54,8,Champions
12678.0,France,12,17628.460000000006,42,Champions
14031.0,United Kingdom,19,17286.86,7,Champions
17428.0,United Kingdom,28,17256.850000000002,0,Champions
13767.0,United Kingdom,37,17220.36,2,Champions
13881.0,United Kingdom,20,17159.52,3,Champions
16839.0,United Kingdom,34,16594.35,8,Champions
12921.0,United Kingdom,37,16587.09,9,Champions
14607.0,United Kingdom,14,16569.5,15,Champions
15856.0,United Kingdom,27,16387.57,4,Champions
17677.0,United Kingdom,30,16363.23,1,Champions
15189.0,United Kingdom,41,16225.390000000001,1,Champions
14051.0,United Kingdom,23,15610.39,0,Champions
15513.0,United Kingdom,19,14758.220000000001,33,Champions
16133.0,United Kingdom,33,14589.039999999997,3,Champions
14866.0,United Kingdom,12,14389.899999999998,10,Champions
16705.0,United Kingdom,20,14034.989999999998,0,Champions
12681.0,France,22,13787.539999999999,14,Champions
12621.0,Germany,20,13689.67,1,Champions
12540.0,Spain,17,13400.24,19,Champions
12433.0,Norway,7,13375.870000000003,0,Loyal
15498.0,United Kingdom,27,13316.400000000001,2,Champions
12477.0,Germany,6,13219.739999999998,22,Loyal
17735.0,United Kingdom,19,13110.02,2,Champions
16525.0,United Kingdom,26,13027.449999999999,2,Champions
14258.0,United Kingdom,9,12669.98,9,Loyal
13078.0,United Kingdom,26,12627.939999999999,3,Champions
12536.0,France,3,12601.830000000005,43,Regular
15640.0,United Kingdom,15,12515.66,4,Champions
16000.0,United Kingdom,3,12393.7,2,Recent
17340.0,United Kingdom,11,12353.289999999999,29,Champions
12682.0,France,31,12288.22,3,Champions
13113.0,United Kingdom,24,12245.960000000001,0,Champions
14606.0,United Kingdom,93,12156.65,1,Champions
12557.0,Spain,5,11990.96,16,Loyal
12939.0,United Kingdom,8,11581.800000000001,64,Loyal
15125.0,United Kingdom,15,11528.48,25,Champions
14194.0,United Kingdom,21,11349.52,4,Champions
12971.0,United Kingdom,86,11189.91,3,Champions
14895.0,United Kingdom,20,11138.71,7,Champions
12409.0,Switzerland,3,11072.67,78,Regular
15482.0,United Kingdom,12,11054.960000000001,15,Champions
17581.0,United Kingdom,25,11045.04,0,Champions
13319.0,United Kingdom,26,10845.550000000001,5,Champions
17107.0,United Kingdom,6,10815.43,33,Loyal
13340.0,United Kingdom,7,10736.480000000001,45,Loyal
14769.0,United Kingdom,8,10674.75,2,Loyal
17139.0,United Kingdom,12,10668.470000000001,15,Champions
16779.0,United Kingdom,22,10629.72,2,Champions
17865.0,United Kingdom,20,10526.32,30,Champions
17706.0,United Kingdom,17,10504.49,4,Champions
15251.0,United Kingdom,11,10484.99,9,Champions
14062.0,United Kingdom,12,10464.849999999999,9,Champions
15615.0,United Kingdom,23,10399.739999999998,10,Champions
15502.0,United Kingdom,12,10384.929999999998,15,Champions
16180.0,United Kingdom,8,10254.18,100,Loyal
16843.0,United Kingdom,16,10196.57,42,Champions
12590.0,Germany,2,9864.260000000004,211,At Risk
13001.0,United Kingdom,13,9818.819999999998,4,Champions
13199.0,United Kingdom,38,9817.119999999999,3,Champions
15078.0,United Kingdom,32,9743.11,7,Champions
12709.0,Germany,15,9736.519999999999,15,Champions
13458.0,United Kingdom,14,9646.57,7,Champions
14733.0,United Kingdom,12,9585.91,16,Champions
16523.0,United Kingdom,21,9418.470000000001,1,Champions
12567.0,France,10,9401.279999999999,22,Champions
14367.0,United Kingdom,16,9261.52,8,Champions
14667.0,United Kingdom,25,9241.199999999999,10,Champions
18092.0,United Kingdom,11,9068.259999999998,2,Champions
13969.0,United Kingdom,18,9053.939999999999,7,Champions
12451.0,Switzerland,5,9035.52,10,Loyal
13488.0,United Kingdom,13,8968.310000000001,17,Champions
13090.0,United Kingdom,14,8910.82,8,Champions
16033.0,United Kingdom,20,8816.400000000001,5,Champions
17017.0,United Kingdom,20,8694.26,2,Champions
17243.0,United Kingdom,26,8676.85,1,Champions
17306.0,United Kingdom,19,8631.310000000001,10,Champions
16656.0,United Kingdom,15,8625.800000000001,22,Champions
14527.0,United Kingdom,55,8508.82,2,Champions
12683.0,France,15,8476.57,4,Champions
18139.0,United Kingdom,6,8438.34,17,Loyal
15358.0,United Kingdom,22,8347.199999999999,4,Champions
16558.0,United Kingdom,20,8338.49,0,Champions
14056.0,United Kingdom,23,8214.65,1,Champions
14936.0,Channel Islands,8,8137.02,33,Loyal
16672.0,United Kingdom,20,8134.9400000000005,2,Champions
13854.0,United Kingdom,25,8109.5199999999995,8,Champions
14952.0,United Kingdom,11,8099.49,59,Champions
18109.0,United Kingdom,26,8052.969999999999,1,Champions
14796.0,United Kingdom,17,8022.49,1,Champions
12428.0,Finland,9,7956.46,25,Loyal
15290.0,United Kingdom,18,7943.22,4,Champions
14849.0,United Kingdom,25,7930.54,21,Champions
12757.0,Portugal,13,7857.099999999999,15,Champions
17811.0,United Kingdom,39,7837.729999999999,4,Champions
13093.0,United Kingdom,8,7832.47,275,Loyal
12435.0,Denmark,2,7829.889999999999,79,Regular
13629.0,United Kingdom,11,7792.360000000001,23,Champions
15044.0,United Kingdom,17,7700.23,19,Champions
15194.0,United Kingdom,15,7616.53,3,Champions
18172.0,United Kingdom,20,7561.679999999999,14,Champions
13263.0,United Kingdom,35,7454.069999999998,1,Champions
12474.0,Germany,18,7375.790000000001,17,Champions
12980.0,United Kingdom,9,7374.900000000001,157,Loyal
15465.0,United Kingdom,18,7354.62,19,Champions
17396.0,United Kingdom,8,7330.8,39,Loyal
12583.0,France,15,7281.38,2,Champions
13018.0,United Kingdom,28,7277.700000000001,16,Champions
18229.0,United Kingdom,20,7276.9,11,Champions
16923.0,United Kingdom,19,7247.61,12,Champions
16729.0,United Kingdom,21,7239.92,38,Champions
16745.0,United Kingdom,17,7194.299999999999,86,Champions
16873.0,United Kingdom,6,7123.620000000001,4,Loyal
13324.0,United Kingdom,10,7121.95,36,Champions
13985.0,United Kingdom,15,7060.13,4,Champions
14961.0,United Kingdom,9,7044.68,10,Loyal
12766.0,Portugal,7,6989.629999999999,3,Loyal
12798.0,Japan,3,6977.04,10,Recent
12989.0,United Kingdom,15,6924.110000000001,3,Champions
16713.0,United Kingdom,15,6923.13,18,Champions
13027.0,United Kingdom,6,6912.0,113,Loyal
16187.0,United Kingdom,15,6911.440000000001,31,Champions
17416.0,United Kingdom,7,6893.42,29,Loyal
12705.0,Germany,9,6868.290000000001,15,Loyal
12476.0,Germany,11,6816.419999999999,15,Champions
